,match_id,team_id,team_name,opp_id,opp_name,is_home,goals_for,goals_allowed,goal_efficiency,offensive_ranking,opp_defensive_goal_efficiency,opp_defensive_ranking,opp_ratio_ball_safe_to_dangerous_attacks,opp_ratio_of_attacks,ratio_ball_safe_to_dangerous_attacks,opp_goals_allowed,ratio_of_attacks,0,1,2,SVC,pca_points,actual,Dimension 1,Dimension 2,,diff1
0,900,21,FC Dallas,23,Real Salt Lake,0,5,4,0.128205128,1,0.782608696,1,0.97037037,0.396946565,1.264705882,5,0.541528239,1.021371353,1.032489585,0.762529994,0,3,1,-1.079903226,-0.167512141,,0
1,896,22,Colorado Rapids,28,Vancouver Whitecaps FC,0,1,2,0.041666667,0,0.896551724,0.66666,1.15,0.591973244,1.05,3,0.482993197,0.507675367,0.913939583,0.79631295,0,0,1,3.728236622,1.015277291,,0
2,900,23,Real Salt Lake,21,FC Dallas,1,3,5,0.088235294,0.33333,0.8,1,0.924012158,0.480263158,1.153310105,4,0.561933535,-0.447157516,-0.755495801,-0.565097966,3,0,1,0.897304805,-0.87373563,,0
3,894,24,New York City FC,40,Chicago Fire,1,6,7,0.214285714,0.33333,0.888888889,0.33333,1.029315961,0.490506329,0.924012158,4,0.480263158,-0.781999076,-0.897652181,-0.288474374,3,1,1,-2.370643827,-1.171089684,,0
4,895,25,Philadelphia Union,34,Toronto FC,0,2,6,0.064516129,0.33333,0.791666667,1,1.042704626,0.505119454,1.096885813,5,0.422712934,0.413029581,1.037349324,0.859377662,0,0,3,1.321994421,-2.537616966,,0
5,902,26,LA Galaxy,37,Seattle Sounders,1,9,7,0.391304348,0.66666,0.821428571,0.66666,1.079847909,0.450704225,0.933085502,5,0.422310757,0.420476326,0.721649967,0.649707845,0,1,0,-5.457123381,-0.757922085,,1
6,901,27,Sporting Kansas City,32,San Jose Earthquakes,0,5,7,0.178571429,0.33333,0.88,1,1.05,0.482993197,1.067164179,3,0.541958042,0.911857403,0.757216219,-0.053091624,0,3,1,-1.171803626,-0.796885915,,0
7,896,28,Vancouver Whitecaps FC,22,Colorado Rapids,1,3,3,0.142857143,0,0.925925926,1,1.021428571,0.503496503,1.079847909,2,0.450704225,-0.191172211,-0.84034804,-0.494501856,3,0,1,1.92025597,1.756187666,,0
8,898,29,Montreal Impact,31,NY Red Bulls,0,3,8,0.076923077,1,0.821428571,0.66666,1.1,0.645768025,1.145454545,5,0.603174603,0.417998626,0.855887919,0.446214128,0,1,0,-0.144233011,-3.485561698,,1
9,899,30,Portland Timbers,38,Houston Dynamo,0,4,4,0.114285714,0.66666,0.8,0.33333,1.153310105,0.561933535,1.140077821,6,0.5221843,0.933393768,1.015583433,0.715307333,0,3,3,-0.394942536,-1.248678612,,0
10,898,31,NY Red Bulls,29,Montreal Impact,1,6,5,0.2,0.66666,0.68,0.33333,1.160493827,0.430851064,1.042704626,8,0.505119454,-0.183410464,-0.673633066,-0.18531904,3,1,3,-3.005031233,-2.547509076,,1
11,901,32,San Jose Earthquakes,27,Sporting Kansas City,1,1,3,0.043478261,0,0.730769231,0.66666,0.933085502,0.422310757,1.021428571,7,0.503496503,-0.407393876,-1.033856297,-0.930023708,3,1,0,2.45040109,-2.323871977,,0
12,897,33,DC United,35,Orlando City SC,1,6,7,0.153846154,1,0.727272727,0,1.034965035,0.574324324,1.029315961,9,0.490506329,-0.987113819,-0.981666166,0.132505524,1,3,0,-3.769362145,-4.527154904,,0
13,895,34,Toronto FC,25,Philadelphia Union,1,5,5,0.161290323,0.66666,0.837837838,0,1.140077821,0.5221843,1.1,6,0.645768025,-1.010944834,-1.011112891,-0.253122481,3,1,3,-1.5519073,-1.576861999,,1
14,897,35,Orlando City SC,33,DC United,0,7,9,0.21875,1,0.8,0,0.914893617,0.476744186,1.080152672,7,0.530035336,-0.063059056,0.215970471,0.705850458,1,1,0,-4.644583584,-4.128343399,,0
15,903,36,New England Revolution,39,Columbus Crew,0,8,2,0.195121951,1,0.823529412,0.33333,1.080152672,0.530035336,1.160493827,6,0.430851064,0.32314253,0.204415689,0.20450078,0,3,3,-3.691763229,1.458432778,,0
16,902,37,Seattle Sounders,26,LA Galaxy,0,4,5,0.181818182,0,0.8,0,1.067164179,0.541958042,1.15,7,0.591973244,0.365373769,0.619045644,0.652024652,0,3,3,-0.832005731,-2.618301736,,0
17,899,38,Houston Dynamo,30,Portland Timbers,1,5,6,0.227272727,0,0.878787879,0.33333,1.096885813,0.422712934,0.97037037,4,0.396946565,-0.950625856,-1.239864987,-0.675259087,3,3,0,-1.177260573,-0.883333602,,0
18,903,39,Columbus Crew,36,New England Revolution,1,6,6,0.214285714,0.33333,0.935483871,1,1.145454545,0.603174603,1.034965035,2,0.574324324,-0.465158477,-0.761659747,-0.56429707,3,1,0,-1.595050589,0.86801362,,0
19,894,40,Chicago Fire,24,New York City FC,0,6,4,0.206896552,0.66666,0.862745098,0,1.264705882,0.541528239,0.914893617,7,0.476744186,0.730796278,0.530897064,0.467533962,0,1,3,-2.528982845,-1.244046078,,0
20,59,41,Southampton FC,47,West Ham United,0,3,3,0.090909091,0.66666,0.685714286,0,0.866171004,0.600858369,1.08650519,11,0.538216561,-0.248302835,-0.604179776,-0.450826014,3,1,3,-0.566720278,-4.328675781,,1
21,52,42,Manchester City,45,Swansea City,0,9,2,0.209302326,1,0.861111111,0.33333,1.08650519,0.538216561,1.135416667,5,0.532110092,0.050089346,0.445329882,0.486475269,0,0,0,-4.357484211,2.478179289,,1
22,58,43,Arsenal FC,48,Chelsea FC,1,9,3,0.264705882,1,0.666666667,1,1.03030303,0.490196078,1.051369863,4,0.586319218,-0.182988334,-0.128095468,-0.18862139,3,0,3,-4.297422443,2.540739816,,1
23,55,44,Everton FC,55,Bournemouth AFC,0,7,1,0.189189189,1,0.871794872,0,1.135416667,0.532110092,1.027692308,5,0.413173653,-0.295022062,0.003996025,0.151753517,1,1,0,-2.274379248,2.406402423,,0
24,52,45,Swansea City,42,Manchester City,1,3,5,0.157894737,0,0.894736842,1,0.871900826,0.654028436,1.014545455,2,0.440860215,0.494754428,-0.414952075,-0.894109007,3,0,3,1.460199983,0.457546239,,1
25,56,46,West Bromwich Albion,49,Stoke City,0,4,3,0.16,0.33333,0.709677419,0,0.937956204,0.53307393,0.866171004,9,0.600858369,0.610802407,-0.083039703,-0.574009983,3,3,0,-0.934993847,-2.650545149,,0
26,59,47,West Ham United,41,Southampton FC,1,5,11,0.185185185,0.33333,0.85,1,1.014545455,0.440860215,1.101083032,3,0.57704918,0.954820735,0.511734846,-0.465719892,0,3,0,-2.079366633,-3.39780024,,1
27,58,48,Chelsea FC,43,Arsenal FC,0,6,4,0.176470588,0.66666,0.88,0.66666,0.85620915,0.320610687,1.141221374,3,0.602006689,0.10453894,0.678732631,0.525453489,0,3,3,-1.455791412,1.487767819,,0
28,56,49,Stoke City,46,West Bromwich Albion,1,1,9,0.04,0.33333,0.888888889,0.66666,1.101083032,0.57704918,1.156862745,3,0.396610169,0.992737839,0.471222995,-0.719712453,0,0,1,2.097802808,-3.518721396,,0
29,54,50,Hull City,56,Liverpool FC,0,2,6,0.095238095,0,0.869565217,0.66666,1.141221374,0.602006689,0.85620915,3,0.320610687,1.327195814,1.448227547,0.280402059,0,0,1,1.87820283,-1.231359146,,0
30,57,51,Middlesbrough FC,54,Tottenham Hotspur,1,2,5,0.111111111,0,0.956521739,1,0.905349794,0.436363636,1.035369775,1,0.391304348,0.617777406,-0.379757922,-0.937219509,3,0,0,2.656381027,0.781237647,,0
31,51,52,Leicester City,58,Manchester United,0,6,5,0.25,0.33333,0.827586207,0.33333,1.008196721,0.552845528,1.129824561,5,0.51863354,0.376787474,0.87105496,1.073920823,0,1,3,-2.190495161,-0.540700669,,0
32,60,53,Burnley FC,57,Watford FC,1,1,7,0.0625,0,0.8,0.33333,1.188191882,0.590062112,1.054945055,6,0.392361111,-0.517922896,-0.677877743,-0.374225663,3,1,0,1.788682387,-4.271948066,,0
33,57,54,Tottenham Hotspur,51,Middlesbrough FC,0,6,1,0.136363636,1,0.791666667,0.66666,1.027692308,0.413173653,1.136690647,5,0.46835443,0.213503829,0.058373345,-0.097460639,0,3,3,-1.328062256,2.104280309,,0
34,55,55,Bournemouth AFC,44,Everton FC,1,2,5,0.090909091,0.33333,0.923076923,1,1.035369775,0.391304348,0.871900826,1,0.654028436,0.600346933,-0.427881225,-0.986881176,3,0,0,2.622672014,0.792410475,,0
35,54,56,Liverpool FC,50,Hull City,1,7,3,0.269230769,0.66666,0.853658537,0,1.051369863,0.586319218,1.03030303,6,0.490196078,0.006032703,-0.367181973,-0.318455059,3,3,3,-2.954941316,0.420338388,,1
36,60,57,Watford FC,53,Burnley FC,0,8,6,0.25,1,0.78125,0.33333,1.129824561,0.51863354,1.008196721,7,0.552845528,0.842904588,0.741440973,0.656696714,0,1,3,-4.877391465,-1.808972852,,0
37,51,58,Manchester United,52,Leicester City,1,3,5,0.083333333,0.66666,0.807692308,0.33333,1.054945055,0.392361111,1.188191882,5,0.590062112,-0.930876225,-0.995896054,-0.694227663,3,0,0,0.582391828,-1.579794573,,0
38,53,59,Crystal Palace,60,Sunderland AFC,0,7,3,0.225806452,0.66666,0.9,0,1.136690647,0.46835443,0.937956204,5,0.53307393,0.286054738,0.877737586,0.869994609,0,1,3,-2.701030094,1.095994701,,0
39,53,60,Sunderland AFC,59,Crystal Palace,1,1,5,0.071428571,0,0.884615385,0.66666,1.156862745,0.396610169,0.905349794,3,0.436363636,-0.247004038,-0.612466954,-0.816624309,3,3,0,3.05044977,-0.935207818,,0
40,44,61,1899 Hoffenheim,62,FC Schalke 04,1,5,5,0.161290323,1,0.730769231,0.33333,1.048327138,0.372340426,1.053191489,7,0.552188552,-0.569017688,-0.765164013,-0.147030424,3,1,3,-1.843400868,-2.21151549,,1
41,44,62,FC Schalke 04,61,1899 Hoffenheim,0,1,7,0.058823529,0,0.861111111,0,1.146067416,0.5,1.067484663,5,0.416666667,0.108604115,0.387856883,0.187829386,0,0,0,2.032750075,-3.619709911,,1
42,38,63,Hertha BSC,69,Eintracht Frankfurt,0,4,3,0.235294118,0,0.9,1,1.146953405,0.540625,1.048327138,2,0.372340426,1.15076893,0.921605155,0.320360634,0,1,1,0.975241537,2.109766672,,0
43,37,64,SC Freiburg,67,Borussia Dortmund,0,4,4,0.166666667,0.33333,0.909090909,1,0.859574468,0.465346535,1.135849057,2,0.455149502,1.179903873,0.867259617,0.064619484,0,1,1,0.712345709,1.473342964,,0
44,41,65,Hamburger SV,76,Bayern Munich,1,1,8,0.0625,0,0.947368421,1,1.264317181,0.515679443,1.032846715,1,0.445229682,1.26702762,0.539885145,-0.794309585,0,3,0,2.899234389,-1.515775418,,1
45,42,66,Monchengladbach,72,FC Ingolstadt,1,6,5,0.4,0.33333,0.708333333,0.33333,1.136729223,0.438679245,1.162068966,7,0.424332344,-0.291916833,-0.503990749,0.16699967,1,1,3,-2.712782134,-1.886674342,,0
46,37,67,Borussia Dortmund,64,SC Freiburg,1,11,2,0.314285714,1,0.764705882,1,1.073929961,0.423913043,1.2,4,0.509090909,-0.064245717,-0.427223277,-0.523815848,3,3,0,-5.928672528,3.889730333,,0
47,39,68,FC Augsburg,77,SV Darmstadt 98,1,3,4,0.12,0.33333,0.825,0,1.2,0.509090909,1.032967033,7,0.40070922,-0.216509861,-0.749566369,-0.833331389,3,0,3,0.309582807,-2.308458293,,1
48,38,69,Eintracht Frankfurt,63,Hertha BSC,1,4,2,0.117647059,1,0.884615385,0.66666,1.067484663,0.416666667,0.975862069,3,0.434628975,-0.185860958,-0.806533308,-0.758198391,3,1,0,0.845892179,2.097226394,,0
49,43,70,Werder Bremen,75,VfL Wolfsburg,1,3,8,0.142857143,0.33333,0.848484848,0,1.053191489,0.552188552,0.992156863,5,0.509881423,-0.219587915,-0.134593856,-0.108533414,3,1,3,-0.081420779,-3.562622958,,1
50,40,71,Bayer Leverkusen,73,1 FSV Mainz 05,0,4,3,0.133333333,0.66666,0.8,0,1.032967033,0.40070922,1.146953405,6,0.540625,0.912561099,0.849567811,0.375818287,0,0,3,-0.174670889,-0.623263571,,0
51,42,72,FC Ingolstadt,66,Monchengladbach,0,1,7,0.04,0,0.772727273,0.66666,0.992156863,0.509881423,1.264317181,5,0.515679443,0.159525161,0.553158695,0.360329939,0,0,0,2.047716291,-3.573615029,,1
52,40,73,1 FSV Mainz 05,71,Bayer Leverkusen,1,9,6,0.257142857,1,0.857142857,0.66666,0.975862069,0.434628975,0.961089494,3,0.615384615,-0.951663337,-0.094592632,0.605171152,1,1,3,-4.728564224,1.244152598,,0
